Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Nahuel Manganelli,ARG,Goalkeeper,Deportivo Riestra,,2001,2,2,180,2,7,5,0,0,0,0,0,2.6,13,46,31,4,26,47,2,7,0,0.6000000000000001
Nathan Bishop,ENG,Goalkeeper,Sunderland,,1999,1,1,90,2,2,0,0,0,0,0,0,1.1,1,7,28,3,8,9,0,0,0,-0.8999999999999999
Neil Etheridge,PHI,Goalkeeper,Birmingham City,,1990,2,2,180,3,5,2,0,0,0,0,0,2.6,3,29,62,14,15,19,3,1,0,-0.3999999999999999
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,,1995,9,9,809,11,36,25,1,0,0,0,0,8.7,52,116,200,45,69,142,12,9,0,-2.3000000000000007
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,,1996,4,3,326,5,23,18,1,1,1,0,0,6.2,4,26,105,16,25,41,1,2,0,1.2000000000000002
Nick Gillekens,BEL,Goalkeeper,Westerlo,,1995,4,4,360,10,23,14,0,0,0,0,0,6.7,34,66,150,19,25,73,4,10,0,-3.3
Nick Olij,NED,Goalkeeper,Sparta R'dam,,1995,34,34,3060,48,161,113,8,5,3,1,1,49.1,307,731,1242,123,236,629,37,38,2,1.1000000000000014
Nicola Ravaglia,ITA,Goalkeeper,Sampdoria,,1988,1,1,90,1,4,3,0,0,0,0,0,2.1,6,22,34,5,13,20,0,0,0,1.1
Nicolás Sumavil,ARG,Goalkeeper,Platense,,1999,1,1,90,0,2,2,1,0,0,0,0,0.3,5,17,10,0,7,9,1,0,0,0.3
Nordin Bakker,NED,Goalkeeper,Almere City,,1997,29,29,2596,53,163,110,9,4,3,1,0,55.6,266,838,844,77,234,396,28,32,1,2.6000000000000014
